"Location","Locationcode","Resono-ID","Start","End","Visits"
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",72
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",44
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",79
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",66
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",101
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",81
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",48
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",100
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",63
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",52
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",44
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",20
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",66
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",207
