"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"01353";"BovenIJ ziekenhuis";"4.92002004";"52.40538848";"60"
"10/12/2020 12:00:00 AM";"01354";"BovenIJ ziekenhuis";"4.92010489";"52.40570338";"46"
"10/12/2020 12:00:00 AM";"01359";"Molenwijk";"4.89361832";"52.41807082";"205"
"10/12/2020 12:00:00 AM";"01361";"Molenwijk";"4.89363353";"52.41802595";"75"
"10/12/2020 12:00:00 AM";"01362";"Molenwijk";"4.89364883";"52.41797209";"70"
"10/12/2020 12:00:00 AM";"01363";"Buikslotermeerplein";"4.93968364";"52.39943369";"241"
"10/12/2020 12:00:00 AM";"01364";"Buikslotermeerplein";"4.93887054";"52.39992493";"125"
"10/12/2020 12:00:00 AM";"01374";"Buiksloterwegveer";"4.90562327";"52.38332903";"14"
"10/12/2020 12:00:00 AM";"01388";"Liergouw";"4.97048749";"52.38308071";"43"
"10/12/2020 12:00:00 AM";"01389";"Liergouw";"4.97076402";"52.38335131";"15"
"10/12/2020 12:00:00 AM";"01402";"Floraweg";"4.90614362";"52.39899665";"42"
"10/12/2020 12:00:00 AM";"01404";"Distelweg";"4.90231681";"52.39422658";"39"
"10/12/2020 12:00:00 AM";"01411";"Meidoornplein";"4.91170297";"52.38754185";"11"
"10/12/2020 12:00:00 AM";"01414";"Olof Palmeplein";"4.94012168";"52.39679298";"485"
"10/12/2020 12:00:00 AM";"01415";"Olof Palmeplein";"4.94016685";"52.39668530";"46"
"10/12/2020 12:00:00 AM";"01417";"Johan v.Hasseltweg";"4.92309870";"52.38784770";"75"
"10/12/2020 12:00:00 AM";"01422";"Noorderpark";"4.91956087";"52.38902016";"75"
"10/12/2020 12:00:00 AM";"01423";"Noorderpark";"4.91921998";"52.38930641";"95"
"10/12/2020 12:00:00 AM";"01443";"Volendammerweg";"4.95697086";"52.39255928";"242"
"10/12/2020 12:00:00 AM";"01446";"Johan v.Hasseltweg";"4.92323015";"52.38792012";"26"
"10/12/2020 12:00:00 AM";"02019";"Koivistokade";"4.87537403";"52.39790601";"136"
